task_id,Importance,Frequency,intrap_binary,quadrant
3226,4.07,3,0,Critical
3242,3.87,3,0,Peripheral
3223,3.67,3,0,Peripheral
3243,3.61,5,0,Operational
3233,3.59,3,0,Peripheral
3234,3.25,3,1,Peripheral
978,4.08,3,0,Critical
969,4.04,5,1,Core
971,3.94,3,1,Peripheral
970,3.88,4,1,Operational
972,3.68,3,0,Peripheral
980,3.63,5,0,Operational
979,3.59,3,1,Peripheral
974,3.53,3,0,Peripheral
966,4.19,5,0,Core
21315,3.61,3,0,Peripheral
21321,4.14,5,1,Core
21318,4.09,5,0,Core
21317,3.98,5,0,Operational
21314,3.65,3,0,Peripheral
21326,3.61,5,0,Operational
21329,3.18,3,1,Peripheral
8870,4.52,5,1,Core
20168,4.4,5,0,Core
8861,4.33,5,0,Core
8865,4.22,3,1,Critical
8867,4.08,3,1,Critical
8873,4.0,3,0,Critical
15415,4.35,3,0,Critical
15430,4.33,5,0,Core
15414,4.24,5,0,Core
15428,4.23,3,0,Critical
15424,4.1,4,0,Core
15416,3.93,3,0,Peripheral
15427,3.92,3,0,Peripheral
15425,3.78,3,1,Peripheral
15423,3.78,3,0,Peripheral
15456,4.25,5,0,Core
15458,4.22,6,0,Core
15461,4.22,5,0,Core
15460,3.72,3,1,Peripheral
15457,3.56,4,1,Operational
15459,3.56,3,1,Peripheral
1021,4.53,4,0,Core
1033,4.22,3,0,Critical
1025,4.18,3,0,Critical
1031,4.18,4,0,Core
1035,4.13,3,0,Critical
1022,4.12,5,0,Core
1026,4.05,3,1,Critical
1020,4.0,3,0,Critical
20942,4.24,3,1,Critical
20943,4.2,5,0,Core
15680,4.11,4,1,Core
15700,4.1,3,1,Critical
15696,4.06,3,1,Critical
15697,4.0,3,0,Critical
20945,3.95,3,0,Peripheral
20946,3.68,3,1,Peripheral
15691,3.39,3,0,Peripheral
985,4.17,3,0,Critical
982,4.04,3,0,Critical
994,4.04,3,1,Critical
993,3.57,3,0,Peripheral
1002,3.25,3,0,Peripheral
49,4.31,5,1,Core
51,4.16,3,0,Critical
55,4.16,3,1,Critical
52,4.11,5,0,Core
61,3.83,3,1,Peripheral
57,3.78,3,0,Peripheral
15612,4.49,4,0,Core
15595,4.41,3,0,Critical
15594,4.35,4,0,Core
15614,4.27,5,0,Core
15593,4.22,3,0,Critical
15608,4.11,3,0,Critical
15592,4.08,5,0,Core
15609,4.07,3,0,Critical
15600,3.96,3,0,Peripheral
15598,3.85,3,0,Peripheral
15607,3.62,4,0,Operational
15583,3.48,3,0,Peripheral
15590,3.58,4,0,Operational
15584,3.48,4,0,Operational
18037,4.61,3,0,Critical
18022,4.48,3,0,Critical
18030,4.09,4,0,Core
18038,3.95,3,0,Peripheral
18032,3.41,3,1,Peripheral
1146,4.55,5,0,Core
1143,4.55,6,0,Core
1145,4.35,4,0,Core
1151,4.0,5,0,Core
1144,4.0,3,0,Critical
1148,3.77,3,0,Peripheral
1153,3.68,4,1,Operational
1157,3.52,3,0,Peripheral
1152,3.35,4,0,Operational
21447,4.38,7,0,Core
21448,4.37,5,0,Core
21449,4.3,5,0,Core
21457,4.07,3,0,Critical
80,4.27,4,0,Core
20846,4.18,4,0,Core
84,4.0,3,0,Critical
87,3.72,3,0,Peripheral
18859,4.5,3,0,Critical
18866,4.33,3,0,Critical
18868,4.18,3,0,Critical
18860,4.18,3,0,Critical
18857,3.91,3,0,Peripheral
18865,3.86,3,0,Peripheral
18853,3.81,4,0,Operational
21097,4.45,3,0,Critical
18869,4.34,3,0,Critical
18855,4.28,3,0,Critical
18876,4.11,6,0,Core
15898,4.48,4,0,Core
20009,4.39,5,0,Core
15889,4.38,5,0,Core
15890,4.35,6,0,Core
15903,4.19,5,0,Core
15893,4.14,3,1,Critical
15904,4.1,3,0,Critical
15895,4.05,4,0,Core
15883,4.0,6,0,Core
15894,3.95,4,0,Operational
15897,3.93,5,0,Operational
15899,3.91,5,0,Operational
15902,3.8,4,0,Operational
15887,4.07,5,0,Core
15884,3.83,4,0,Operational
15885,2.92,3,0,Peripheral
7276,4.48,3,0,Critical
7277,4.45,3,1,Critical
7282,4.24,3,1,Critical
7285,4.1,3,1,Critical
18931,4.65,5,0,Core
18907,4.53,5,0,Core
18912,4.33,3,1,Critical
18911,4.16,5,1,Core
18926,4.06,4,1,Core
18919,3.94,4,0,Operational
18932,3.67,3,0,Peripheral
18908,3.5,3,0,Peripheral
18924,3.45,3,1,Peripheral
18918,3.39,3,0,Peripheral
20475,4.62,4,0,Core
19559,4.45,3,1,Critical
98,4.4,4,0,Core
20474,4.33,3,1,Critical
102,4.1,3,1,Critical
101,4.0,3,0,Critical
20476,3.82,3,0,Peripheral
106,3.79,3,1,Peripheral
93,3.73,3,0,Peripheral
95,3.26,3,0,Peripheral
20328,4.52,3,0,Critical
20329,4.52,4,0,Core
16192,4.52,4,0,Core
16182,4.52,3,1,Critical
16190,4.27,4,0,Core
20318,4.17,4,0,Core
20326,4.17,3,0,Critical
20321,4.14,4,1,Core
20319,4.09,3,1,Critical
20330,3.86,3,1,Peripheral
20327,3.83,5,1,Operational
16191,3.73,3,0,Peripheral
16186,3.61,3,1,Peripheral
16179,3.5,3,1,Peripheral
15980,4.22,5,0,Core
15979,4.13,3,1,Critical
15973,4.0,5,0,Core
15968,4.0,3,1,Critical
15976,3.96,3,0,Peripheral
15975,3.96,4,1,Operational
15978,3.95,4,1,Operational
15969,3.74,3,1,Peripheral
15731,4.46,5,0,Core
15710,4.46,5,0,Core
15709,4.42,7,0,Core
15728,4.38,7,0,Core
15707,4.31,7,0,Core
15730,4.3,5,0,Core
15734,4.25,3,0,Critical
15703,4.19,5,0,Core
15735,4.17,3,0,Critical
15714,4.13,4,0,Core
15732,4.08,3,0,Critical
15704,4.08,5,0,Core
15711,3.85,5,0,Operational
15717,3.85,4,0,Operational
15721,3.81,3,1,Peripheral
21511,4.3,3,0,Critical
21514,4.24,3,0,Critical
21515,4.23,3,0,Critical
21516,4.23,3,0,Critical
21519,4.03,5,0,Core
21520,4.03,3,0,Critical
21522,3.82,3,0,Peripheral
21549,4.75,5,0,Core
21550,4.65,4,0,Core
21552,4.5,4,1,Core
21553,4.5,5,0,Core
21555,4.45,6,0,Core
21557,4.39,5,0,Core
21558,4.37,5,0,Core
21562,4.26,4,0,Core
21565,4.15,4,0,Core
21566,4.1,5,0,Core
21567,4.0,5,0,Core
21570,3.75,4,0,Operational
3394,4.37,3,0,Critical
3401,4.15,3,0,Critical
3405,4.12,3,1,Critical
3395,4.02,3,1,Critical
1250,4.9,7,0,Core
1254,4.76,5,0,Core
1255,4.55,5,0,Core
1251,4.55,5,0,Core
1259,4.53,5,0,Core
1257,4.25,5,0,Core
1252,3.69,5,0,Operational
12904,4.62,5,1,Core
20184,4.44,5,0,Core
20189,4.21,4,0,Core
12913,4.04,4,0,Core
20188,3.58,5,0,Operational
7319,4.45,3,0,Critical
7320,4.13,3,0,Critical
7318,3.96,3,0,Peripheral
18935,4.84,7,0,Core
18938,4.79,7,0,Core
18936,4.76,7,0,Core
18943,4.72,6,0,Core
18934,4.72,7,0,Core
18937,4.52,5,0,Core
18942,4.48,5,0,Core
18940,4.42,7,0,Core
18933,4.24,7,0,Core
3409,4.57,5,0,Core
3407,4.4,5,0,Core
3416,4.19,4,0,Core
3413,4.14,3,0,Critical
3412,4.13,5,0,Core
3411,4.13,4,0,Core
3415,3.87,3,1,Peripheral
3414,3.57,4,0,Operational
7360,4.81,7,0,Core
7358,4.68,7,0,Core
7362,4.68,6,0,Core
7359,4.59,7,0,Core
7363,4.5,5,0,Core
7364,4.43,5,0,Core
20363,4.27,5,0,Core
7365,4.05,5,0,Core
21165,3.91,5,0,Operational
15997,4.4,3,0,Critical
15988,3.65,3,0,Peripheral
15983,3.58,4,0,Operational
20950,4.24,3,0,Critical
3465,4.0,5,0,Core
3482,3.97,5,1,Operational
3466,3.71,6,0,Operational
3474,3.6,5,1,Operational
3484,3.48,4,1,Operational
3470,3.47,3,1,Peripheral
3480,3.21,3,0,Peripheral
3478,3.6,3,0,Peripheral
18090,4.81,3,1,Critical
18092,4.71,6,1,Core
18094,4.33,5,0,Core
18101,4.24,5,0,Core
18093,4.15,3,1,Critical
18088,4.14,4,1,Core
18095,3.9,5,1,Operational
18100,3.81,3,1,Peripheral
18103,3.43,3,0,Peripheral
5314,4.4,4,1,Core
5316,4.23,5,0,Core
5317,4.1,3,0,Critical
5322,3.94,3,0,Peripheral
5319,3.89,5,0,Operational
14623,4.24,5,1,Core
14626,3.89,5,1,Operational
14624,3.76,3,0,Peripheral
14633,3.63,7,1,Operational
14625,3.46,3,1,Peripheral
14636,2.77,3,0,Peripheral
19004,4.44,5,0,Core
18991,4.37,5,0,Core
19003,4.26,3,0,Critical
18993,4.09,5,0,Core
18992,4.04,3,0,Critical
19002,3.96,3,0,Peripheral
19010,3.96,5,0,Operational
18989,3.94,5,0,Operational
19011,3.34,4,1,Operational
1285,3.99,5,0,Operational
1288,3.94,6,0,Operational
1282,3.79,7,0,Operational
1283,3.57,5,0,Operational
1287,3.47,5,0,Operational
1292,3.39,3,1,Peripheral
1290,3.3,3,0,Peripheral
1299,4.0,3,0,Critical
1301,3.93,3,0,Peripheral
1305,3.8,3,0,Peripheral
1300,3.68,5,0,Operational
1313,3.15,4,1,Operational
1314,2.78,3,0,Peripheral
1318,4.27,6,0,Core
1317,4.14,5,0,Core
15206,3.97,5,0,Operational
1320,3.87,5,0,Operational
1325,3.77,5,0,Operational
1319,3.74,3,0,Peripheral
1329,3.65,3,0,Peripheral
1323,3.57,3,1,Peripheral
1322,3.56,3,0,Peripheral
1321,3.41,3,0,Peripheral
1273,4.42,7,0,Core
1267,4.38,6,0,Core
1272,4.37,5,0,Core
1270,4.15,6,0,Core
1276,3.58,3,0,Peripheral
1269,3.56,5,0,Operational
1277,3.28,5,0,Operational
1274,3.27,4,0,Operational
1275,3.26,3,0,Peripheral
1279,3.22,4,1,Operational
21049,3.24,5,0,Operational
14642,4.7,6,0,Core
14641,4.68,6,0,Core
14640,4.52,3,0,Critical
14638,4.35,3,0,Critical
14648,4.3,5,0,Core
14653,4.27,4,0,Core
14652,4.26,6,0,Core
14639,4.21,3,0,Critical
14644,4.15,5,0,Core
14649,4.12,3,1,Critical
14643,4.12,5,0,Core
14650,4.09,4,0,Core
14645,4.0,3,0,Critical
14654,3.97,4,0,Operational
14655,3.88,3,0,Peripheral
14647,3.71,3,0,Peripheral
14658,3.7,4,0,Operational
14707,4.58,7,0,Core
14694,4.42,5,0,Core
14698,4.35,5,0,Core
14700,4.09,4,0,Core
14710,4.04,3,0,Critical
14695,4.0,3,0,Critical
14713,3.67,5,1,Operational
14708,3.57,3,0,Peripheral
14717,3.47,3,0,Peripheral
14719,3.39,3,1,Peripheral
14714,3.29,3,1,Peripheral
14722,3.18,3,0,Peripheral
14723,3.73,3,0,Peripheral
16199,4.65,5,1,Core
16208,4.45,4,1,Core
16217,4.45,4,1,Core
16201,4.4,4,1,Core
16214,4.4,3,0,Critical
16209,4.35,3,0,Critical
16198,4.2,5,0,Core
16212,4.2,4,0,Core
16202,4.11,4,0,Core
16211,4.0,3,1,Critical
16203,3.78,3,1,Peripheral
16194,3.6,3,1,Peripheral
16200,3.6,3,0,Peripheral
14734,4.79,5,0,Core
14731,4.6,5,0,Core
14758,4.45,5,0,Core
14732,4.32,5,0,Core
14740,4.25,3,0,Critical
14750,4.06,3,0,Critical
14749,4.0,3,0,Critical
14733,3.89,5,0,Operational
14743,3.89,3,0,Peripheral
14744,3.85,3,0,Peripheral
14762,3.83,3,0,Peripheral
14675,4.09,5,0,Core
14673,3.95,3,1,Peripheral
14686,3.91,3,0,Peripheral
14670,3.81,3,0,Peripheral
14683,3.73,4,0,Operational
14672,3.64,5,0,Operational
14681,3.62,3,1,Peripheral
14667,3.45,3,0,Peripheral
14671,3.45,3,1,Peripheral
14687,3.37,3,0,Peripheral
16157,4.29,5,0,Core
16152,4.25,3,0,Critical
16159,4.2,3,0,Critical
16170,4.05,4,0,Core
16151,4.05,4,0,Core
16168,4.0,3,0,Critical
16171,3.9,3,0,Peripheral
16167,3.79,4,1,Operational
7373,4.39,5,0,Core
7371,4.0,4,1,Core
7370,3.83,4,0,Operational
7372,3.82,3,1,Peripheral
7368,3.7,4,1,Operational
8956,4.67,4,0,Core
8953,4.52,5,0,Core
8957,4.48,4,0,Core
8955,4.33,5,0,Core
8961,4.26,3,1,Critical
8954,4.05,5,0,Core
16265,4.39,3,0,Critical
16246,4.35,3,0,Critical
16252,4.3,3,0,Critical
16249,4.29,4,0,Core
16262,4.18,3,0,Critical
16150,4.64,4,0,Core
16140,4.19,5,0,Core
16146,3.68,3,0,Peripheral
16143,3.65,3,0,Peripheral
16136,3.47,4,1,Operational
16135,3.41,3,0,Peripheral
16284,4.37,5,0,Core
16280,4.32,5,0,Core
16279,4.05,5,0,Core
16277,3.95,3,0,Peripheral
16283,3.71,3,0,Peripheral
16270,3.65,3,1,Peripheral
16274,3.45,4,0,Operational
20483,4.48,3,0,Critical
20479,4.43,7,0,Core
130,4.4,5,0,Core
136,4.33,3,1,Critical
20486,4.25,4,0,Core
134,4.1,3,0,Critical
19596,4.1,5,0,Core
20488,3.79,5,0,Operational
19594,2.95,3,1,Peripheral
1339,4.07,5,1,Core
1340,3.83,3,0,Peripheral
20726,3.43,3,1,Peripheral
1346,3.27,3,0,Peripheral
19601,2.28,3,1,Peripheral
147,3.93,5,0,Operational
20491,3.88,5,1,Operational
20492,3.68,3,0,Peripheral
151,3.55,3,0,Peripheral
19607,3.0,3,1,Peripheral
1411,4.3,5,0,Core
20736,4.15,5,0,Core
20737,3.46,3,0,Peripheral
1420,3.42,3,0,Peripheral
20735,3.37,3,1,Peripheral
1418,3.35,4,0,Operational
3580,4.09,5,1,Core
3586,4.04,5,0,Core
3581,3.99,3,1,Peripheral
3591,3.67,3,0,Peripheral
3588,3.62,3,0,Peripheral
3589,3.47,3,1,Peripheral
3590,3.97,5,0,Operational
20854,4.48,4,1,Core
18156,4.15,3,0,Critical
20858,3.9,3,0,Peripheral
20861,3.71,3,0,Peripheral
18157,3.35,3,1,Peripheral
19648,3.27,3,1,Peripheral
21917,4.86,7,0,Core
21918,4.6,7,0,Core
21919,4.38,5,1,Core
21920,4.28,6,0,Core
21921,4.19,5,0,Core
21922,4.14,5,0,Core
21924,4.06,4,0,Core
21926,3.99,5,0,Operational
21928,3.87,3,0,Peripheral
21937,3.2,3,0,Peripheral
22082,3.96,5,0,Operational
1485,3.79,5,0,Operational
1476,3.73,5,0,Operational
22086,3.72,5,0,Operational
1475,3.66,4,0,Operational
1482,3.56,3,0,Peripheral
1486,3.52,4,0,Operational
22077,3.46,3,1,Peripheral
1477,3.41,3,1,Peripheral
22083,3.17,4,0,Operational
16786,4.3,3,1,Critical
16790,4.24,3,1,Critical
16795,3.94,5,0,Operational
16791,3.75,3,0,Peripheral
16793,3.71,5,0,Operational
16788,3.38,3,1,Peripheral
16783,2.86,3,0,Peripheral
16807,4.65,5,0,Core
23905,4.23,3,0,Critical
16808,4.19,4,0,Core
16814,4.12,5,0,Core
16809,4.08,3,1,Critical
5503,4.37,4,0,Core
5511,3.84,3,1,Peripheral
5505,3.81,5,1,Operational
5506,3.79,3,0,Peripheral
16943,4.22,3,1,Critical
16952,4.15,3,1,Critical
20976,4.05,4,0,Core
18295,4.26,6,0,Core
18289,4.05,4,0,Core
20875,4.04,3,0,Critical
18282,4.0,3,0,Critical
18296,3.74,5,0,Operational
18278,3.62,3,1,Peripheral
18293,3.27,3,1,Peripheral
12963,4.46,3,1,Critical
12955,4.1,4,0,Core
12956,4.04,3,0,Critical
12960,3.8,5,0,Operational
12968,4.21,5,0,Core
16974,4.35,5,0,Core
16977,4.18,5,0,Core
16979,4.16,5,0,Core
16964,4.1,5,0,Core
16973,4.09,5,0,Core
16966,3.76,5,0,Operational
16976,3.4,3,1,Peripheral
16968,3.54,3,0,Peripheral
3775,4.41,5,0,Core
20877,4.18,5,0,Core
3783,4.04,5,0,Core
19050,4.85,5,0,Core
19051,4.84,7,0,Core
19047,4.81,5,0,Core
19052,4.64,5,0,Core
19053,3.51,3,0,Peripheral
19057,3.62,4,0,Operational
19054,3.52,3,0,Peripheral
19056,3.14,3,0,Peripheral
5663,4.59,4,0,Core
5666,4.4,4,0,Core
5664,4.35,3,0,Critical
5669,4.16,4,0,Core
5673,4.05,3,0,Critical
5671,4.01,3,0,Critical
20058,3.98,4,0,Operational
22409,4.19,5,0,Core
22411,4.14,5,0,Core
22410,4.14,5,0,Core
22416,3.89,3,0,Peripheral
22417,3.89,4,0,Operational
22420,3.79,4,0,Operational
22425,3.67,3,0,Peripheral
22427,3.58,3,0,Peripheral
22430,3.5,5,0,Operational
288,4.53,4,0,Core
286,4.37,5,0,Core
284,4.24,5,0,Core
285,4.22,5,0,Core
294,4.14,5,0,Core
292,4.04,5,0,Core
20242,3.74,4,1,Operational
295,4.15,5,0,Core
307,4.7,5,0,Core
304,4.65,5,0,Core
300,4.6,7,0,Core
306,4.56,4,0,Core
299,4.5,7,1,Core
301,4.47,6,0,Core
303,4.15,5,0,Core
309,4.1,5,0,Core
15228,4.1,6,0,Core
308,4.0,5,0,Core
15229,3.5,4,1,Operational
22522,4.27,5,0,Core
22523,4.2,4,0,Core
22519,4.2,5,1,Core
22532,3.95,5,1,Operational
22527,3.82,5,0,Operational
22528,3.79,4,0,Operational
22539,3.98,3,1,Peripheral
22533,3.91,7,1,Operational
22535,3.82,4,0,Operational
22537,3.71,5,1,Operational
22529,3.5,3,0,Peripheral
3897,4.54,6,0,Core
3896,4.18,5,0,Core
3906,3.31,5,0,Operational
3900,3.19,3,0,Peripheral
3894,4.79,7,0,Core
3905,4.19,6,0,Core
22623,4.77,7,0,Core
22625,4.68,7,0,Core
22626,4.67,7,0,Core
22628,4.62,6,0,Core
22631,4.5,7,0,Core
22635,4.3,5,0,Core
22636,4.29,6,0,Core
22638,4.1,6,0,Core
22642,3.81,6,0,Operational
22648,3.58,4,1,Operational
1764,4.55,5,0,Core
23951,4.41,5,0,Core
20554,4.38,4,0,Core
1769,4.1,3,1,Critical
20557,3.9,3,0,Peripheral
1777,4.55,7,0,Core
1780,4.48,5,0,Core
1786,4.47,5,0,Core
1782,4.42,5,1,Core
1776,4.3,5,0,Core
1783,4.2,6,0,Core
21000,4.13,7,0,Core
1779,4.08,5,0,Core
1781,3.96,6,0,Operational
1785,3.67,5,0,Operational
1778,3.81,5,0,Operational
3966,4.72,7,0,Core
3967,4.23,5,0,Core
3968,4.03,4,0,Core
3971,4.01,5,0,Core
20243,3.94,4,0,Operational
3975,3.82,3,0,Peripheral
3977,3.7,5,1,Operational
3970,3.65,3,0,Peripheral
22655,4.43,5,0,Core
22654,4.24,3,0,Critical
22660,3.71,5,1,Operational
22657,3.7,5,0,Operational
22658,3.57,4,1,Operational
20558,4.82,6,0,Core
9352,4.68,5,0,Core
9357,4.57,5,0,Core
9351,4.52,5,0,Core
9354,4.5,5,0,Core
9350,4.45,5,0,Core
20560,2.94,4,0,Operational
17242,4.98,7,0,Core
17254,4.92,7,0,Core
17248,4.87,7,0,Core
17239,4.84,7,0,Core
17249,4.6,7,1,Core
17234,4.25,3,0,Critical
17231,4.14,3,1,Critical
9416,4.88,7,0,Core
9421,4.76,7,0,Core
9414,4.73,5,0,Core
9413,4.65,7,0,Core
9415,4.62,5,0,Core
9423,4.62,7,0,Core
9417,4.61,7,0,Core
9420,4.54,7,0,Core
23193,4.75,7,0,Core
23195,4.6,5,0,Core
23197,4.47,5,0,Core
23205,4.27,5,0,Core
23208,4.14,5,1,Core
23209,4.06,7,0,Core
23213,3.84,5,0,Operational
23214,3.82,4,0,Operational
737,4.6,6,0,Core
741,4.57,6,1,Core
738,4.57,5,0,Core
739,4.57,5,0,Core
20900,4.49,5,0,Core
740,4.42,5,0,Core
743,4.3,6,0,Core
742,4.04,6,0,Core
20608,4.24,5,0,Core
11241,4.2,5,0,Core
11237,4.15,5,0,Core
11238,4.1,6,0,Core
11261,4.0,5,1,Core
11246,3.86,5,1,Operational
11252,3.84,3,0,Peripheral
11249,3.75,5,0,Operational
11245,3.7,4,0,Operational
20619,3.62,3,0,Peripheral
20620,3.58,3,0,Peripheral
19826,2.94,3,1,Peripheral
4621,4.66,7,0,Core
4620,4.66,7,0,Core
4622,4.59,7,0,Core
4618,4.42,7,0,Core
4623,4.45,7,1,Core
4628,3.67,5,0,Operational
2487,4.76,7,0,Core
2486,4.68,5,0,Core
2495,4.47,7,0,Core
2493,4.32,5,0,Core
2497,4.32,5,0,Core
2496,4.29,5,0,Core
2494,4.19,5,0,Core
2490,4.17,5,0,Core
2489,4.15,5,0,Core
2509,4.12,5,0,Core
18561,4.71,3,0,Critical
2501,4.44,5,0,Core
2503,4.38,3,0,Critical
2491,4.16,5,0,Core
2519,4.74,5,0,Core
2515,4.72,3,0,Critical
2516,4.69,4,0,Core
18562,4.66,3,0,Critical
2528,4.62,3,0,Critical
2518,4.61,4,0,Core
2520,4.55,4,0,Core
2521,4.55,3,0,Critical
18563,4.42,4,0,Core
2517,4.36,3,0,Critical
2522,4.28,3,0,Critical
2524,4.25,4,0,Core
18564,3.52,3,0,Peripheral
23269,4.61,3,0,Critical
23270,4.59,7,0,Core
23271,4.58,3,0,Critical
23272,4.56,5,0,Core
23278,4.56,6,0,Core
23273,4.55,7,0,Core
23274,4.54,3,0,Critical
23288,4.46,7,0,Core
23281,4.4,7,0,Core
23275,4.38,5,0,Core
23283,4.18,5,0,Core
23290,4.08,5,0,Core
2578,4.53,7,0,Core
2580,4.39,7,0,Core
2581,4.22,7,0,Core
2583,4.18,5,0,Core
2584,4.1,7,0,Core
2582,4.07,3,0,Critical
2579,4.19,6,0,Core
2587,4.05,7,0,Core
2589,3.64,5,0,Operational
2585,3.63,7,0,Operational
2591,3.16,4,1,Operational
9739,4.59,5,0,Core
9736,4.55,5,0,Core
9735,4.41,5,0,Core
9741,3.91,5,0,Operational
9758,4.83,7,0,Core
9762,4.78,7,0,Core
9754,4.48,7,0,Core
9753,4.44,7,0,Core
9756,4.39,7,0,Core
9755,4.38,7,0,Core
9752,4.37,7,0,Core
9749,4.36,7,0,Core
9751,4.51,7,0,Core
9766,3.97,7,0,Operational
9767,3.33,4,0,Operational
2705,4.84,7,0,Core
2706,4.7,7,0,Core
2717,4.63,7,0,Core
2712,4.6,5,0,Core
2714,4.2,5,0,Core
11370,4.35,5,0,Core
11363,4.16,5,0,Core
11368,3.94,5,0,Operational
11375,3.78,5,0,Operational
11371,3.77,5,0,Operational
11377,3.68,5,0,Operational
11369,3.67,5,0,Operational
11373,3.63,4,0,Operational
11367,3.45,5,0,Operational
11376,3.35,5,1,Operational
11374,3.2,5,0,Operational
768,4.35,7,0,Core
18780,4.3,3,0,Critical
21078,4.29,6,0,Core
774,4.11,4,0,Core
766,4.0,6,0,Core
771,3.41,3,0,Peripheral
773,3.85,5,0,Operational
21079,3.81,4,0,Operational
775,4.51,7,0,Core
788,4.5,5,0,Core
783,4.47,5,0,Core
781,4.46,7,0,Core
778,4.46,7,0,Core
782,4.41,7,0,Core
784,3.6,3,0,Peripheral
786,4.6,7,0,Core
776,4.55,7,0,Core
20438,4.25,7,0,Core
20281,4.22,5,0,Core
20280,4.22,7,0,Core
20282,4.0,5,0,Core
2813,3.95,5,0,Operational
2801,3.93,5,0,Operational
2800,3.84,5,0,Operational
20284,3.83,4,0,Operational
2795,3.78,5,0,Operational
2793,3.72,5,0,Operational
2805,3.68,5,0,Operational
2794,3.67,5,0,Operational
2797,3.66,3,0,Peripheral
20285,4.22,3,0,Critical
2809,3.77,5,1,Operational
2806,3.77,5,0,Operational
11405,4.82,7,0,Core
11402,4.72,5,0,Core
11403,4.54,7,0,Core
11404,4.39,7,0,Core
11401,4.52,7,0,Core
11406,4.21,5,0,Core
2816,4.75,7,0,Core
2820,4.47,7,0,Core
2815,4.41,5,0,Core
2817,4.4,7,0,Core
2818,4.38,7,0,Core
2824,4.36,7,0,Core
2823,4.29,7,0,Core
2825,4.18,5,0,Core
2829,4.02,5,0,Core
2827,4.01,5,0,Core
2821,3.99,7,0,Operational
2822,3.88,5,0,Operational
23313,4.75,7,0,Core
23314,4.64,7,0,Core
23315,4.62,7,0,Core
23316,4.61,7,0,Core
23318,4.46,7,0,Core
23319,4.45,5,0,Core
23320,4.41,7,0,Core
23322,4.29,6,0,Core
23323,4.22,5,0,Core
23324,4.16,4,0,Core
23325,4.14,5,0,Core
23326,4.08,5,0,Core
23329,4.45,5,0,Core
23333,3.78,3,0,Peripheral
23334,3.69,5,0,Operational
5160,4.6,7,0,Core
5158,4.55,7,0,Core
5161,4.42,7,0,Core
5163,4.35,7,0,Core
20908,3.87,5,0,Operational
12301,4.71,7,0,Core
12306,4.14,5,0,Core
